"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"2","2","Abhorrent Overlord","ths","Near Mint","English","","","2025-01-05 19:26:45.563000","75","False","False","0.35"
"8","8","Accumulated Knowledge","a25","Near Mint","English","","","2025-01-05 19:52:52.720000","40","False","False","0.25"
"1","1","Agony Warp","ala","Good (Lightly Played)","English","","","2025-01-05 03:43:43.113000","153","False","False","0.20"
"2","2","Altar of the Brood","ktk","Near Mint","English","","","2025-01-05 22:28:12.487000","216","False","False","0.49"
"1","1","Altar of the Brood","ktk","Good (Lightly Played)","English","","","2025-01-05 22:26:31.423000","216","False","False","0.36"
"3","3","Ancient Grudge","isd","Good (Lightly Played)","English","","","2025-01-05 05:41:42.513000","127","False","False","0.20"
"4","4","Ancient Grudge","isd","Good (Lightly Played)","English","","","2025-01-05 23:53:21.523000","127","False","False","0.28"
"4","4","Ancient Stirrings","a25","Near Mint","English","","","2025-01-05 07:11:20.953000","159","False","False","2.99"
"4","4","Ancient Stirrings","a25","Near Mint","English","","","2025-01-05 06:49:03.263000","159","False","False","2.79"
"4","4","Ancient Stirrings","2xm","Near Mint","English","","","2025-01-05 04:26:58.897000","151","False","False","0.25"
"4","4","Annoyed Altisaur","cmr","Near Mint","English","","","2025-01-05 04:27:19.430000","216","False","False","0.25"
"4","4","Anticipate","dtk","Near Mint","English","","","2025-01-05 22:46:30.837000","45","False","False","0.07"
"3","3","Approach of the Second Sun","akh","Near Mint","English","","","2025-01-05 22:46:55.203000","4","False","False","0.47"
"4","4","Archway Angel","rna","Near Mint","English","","","2025-01-05 07:08:55.623000","3","False","False","0.25"
"4","4","Artisan of Kozilek","cm2","Near Mint","English","","","2025-01-05 23:37:24.697000","14","False","False","0.35"
"2","2","Ash Barrens","c20","Near Mint","English","","","2025-01-05 03:41:26.627000","255","False","False","0.59"
"3","3","Ash Barrens","a25","Near Mint","English","","","2025-01-05 19:53:10.840000","236","False","False","2.99"
"4","4","Atog","3ed","Good (Lightly Played)","English","","","2025-01-05 05:41:30.247000","139","False","False","0.39"
"4","4","Attune with Aether","kld","Good (Lightly Played)","English","","","2025-01-05 06:56:02.213000","145","False","False","0.20"
"1","1","Augur of Bolas","m13","Near Mint","English","","","2025-01-05 19:56:27.720000","43","False","False","0.25"
"7","7","Augur of Bolas","m13","Good (Lightly Played)","English","","","2025-01-05 20:03:08.153000","43","False","False","0.20"
"1","1","Authority of the Consuls","kld","Near Mint","English","","","2025-01-05 22:47:11.907000","5","False","False","2.49"
"1","1","Azure Fleet Admiral","cmr","Near Mint","English","","","2025-01-05 03:59:48.747000","58","False","False","0.25"
"4","4","Bane of Bala Ged","bfz","Good (Lightly Played)","English","","","2025-01-05 23:38:05.163000","1","False","False","0.80"
"4","4","Banishing Knack","eve","Good (Lightly Played)","English","","","2025-01-05 20:15:13.950000","17","False","False","0.20"
"2","2","Banishing Knack","eve","Near Mint","English","","","2025-01-05 22:27:58.473000","17","False","False","0.25"
"1","1","Behold the Multiverse","khm","Near Mint","English","","","2025-01-05 04:00:01.127000","46","False","False","0.25"
"3","3","Blanchwood Prowler","bro","Near Mint","English","foil","","2025-01-05 23:45:53.137000","172","False","False","0.12"
"1","1","Blanchwood Prowler","bro","Good (Lightly Played)","English","","","2025-01-05 23:53:36.897000","172","False","False","0.28"
"6","6","Blue Elemental Blast","3ed","Good (Lightly Played)","English","","","2025-01-05 05:42:32.913000","49","False","False","0.20"
"4","4","Blue Elemental Blast","4ed","Near Mint","English","","","2025-01-05 19:57:43.997000","63","False","False","0.25"
"4","4","Boarding Party","cmr","Near Mint","English","","","2025-01-05 04:27:38.290000","163","False","False","0.25"
"3","3","Bogbrew Witch","ima","Near Mint","English","","","2025-01-05 23:28:01.767000","83","False","False","0.14"
"1","1","Bogbrew Witch","ima","Near Mint","English","","","2025-01-05 19:27:17.683000","83","False","False","0.25"
"1","1","Bojuka Bog","c18","Near Mint","English","","","2025-01-05 04:28:07.510000","238","False","False","2.99"
"4","4","Bonder's Ornament","c20","Near Mint","English","","","2025-01-05 05:27:16.127000","67","False","False","0.25"
"1","1","Boros Guildgate","dgm","Near Mint","English","","","2025-01-05 06:23:09.143000","147","False","False","0.25"
"4","4","Brainstorm","afc","Near Mint","English","","","2025-01-05 03:42:43.367000","79","False","False","0.35"
"4","4","Brainstorm","a25","Near Mint","English","","","2025-01-05 19:58:34.943000","46","False","False","0.79"
"4","4","Bubble Snare","znr","Near Mint","English","","","2025-01-05 06:04:56.787000","47","False","False","0.25"
"2","2","Bubbling Cauldron","m14","Good (Lightly Played)","English","","","2025-01-05 19:33:04.180000","205","False","False","0.20"
"2","2","Bubbling Cauldron","m14","Near Mint","English","","","2025-01-05 23:35:32.163000","205","False","False","0.10"
"4","4","Burning-Tree Emissary","gtc","Good (Lightly Played)","English","","","2025-01-05 19:34:03.883000","216","False","False","0.20"
"4","4","Cadaver Imp","ddr","Near Mint","English","","","2025-01-05 23:28:22.613000","41","False","False","0.09"
"4","4","Calculated Dismissal","ori","Good (Lightly Played)","English","","","2025-01-05 23:14:00.500000","48","False","False","0.07"
"4","4","Caravan Vigil","isd","Good (Lightly Played)","English","","","2025-01-05 06:56:23.167000","173","False","False","0.20"
"4","4","Caravan Vigil","isd","Good (Lightly Played)","English","","","2025-01-05 22:47:31.533000","173","False","False","0.09"
"4","4","Cast Down","2xm","Near Mint","English","","","2025-01-05 23:56:09.440000","79","False","False","0.79"
"4","4","Cast Down","clb","Near Mint","English","","","2025-01-05 03:43:26.340000","119","False","False","0.35"
"4","4","Cast Out","akh","Near Mint","English","","","2025-01-05 22:48:09.787000","8","False","False","0.99"
"4","4","Censor","akh","Near Mint","English","","","2025-01-05 22:48:30.927000","46","False","False","0.99"
"4","4","Cerulean Drake","m20","Near Mint","English","","","2025-01-05 06:05:29.987000","53","False","False","0.25"
"4","4","Chancellor of the Tangle","nph","Good (Lightly Played)","English","","","2025-01-05 06:57:50.483000","106","False","False","0.28"
"4","4","Chromatic Sphere","inv","Good (Lightly Played)","English","","","2025-01-05 07:17:40.150000","299","False","False","0.79"
"1","1","Chromatic Star","2xm","Good (Lightly Played)","English","","","2025-01-05 05:42:48.813000","239","False","False","0.20"
"3","3","Chromatic Star","tsr","Near Mint","English","","","2025-01-05 05:52:15.230000","263","False","False","0.25"
"2","2","Circle of Protection: White","3ed","Good (Lightly Played)","English","","","2025-01-05 05:37:02.670000","13","False","False","0.20"
"2","2","Circuitous Route","grn","Near Mint","English","","","2025-01-05 06:23:44.777000","125","False","False","0.35"
"3","3","Clearwater Pathway // Murkwater Pathway","znr","Near Mint","English","","","2025-01-05 23:42:50.100000","260","False","False","2.99"
"1","1","Clearwater Pathway // Murkwater Pathway","znr","Good (Lightly Played)","English","","","2025-01-05 23:44:09.523000","260","False","False","3.47"
"3","3","Coffin Purge","ody","Played","English","","","2025-01-06 00:01:57.420000","124","False","False","0.41"
"2","2","Conduit of Ruin","bfz","Good (Lightly Played)","English","","","2025-01-05 23:38:19.860000","4","False","False","1.25"
"2","2","Conduit Pylons","otj","Good (Lightly Played)","English","","","2025-01-05 23:54:21.863000","254","False","False","0.28"
"2","2","Consume Spirit","m12","Good (Lightly Played)","English","","","2025-01-05 23:12:39.180000","88","False","False","0.11"
"4","4","Counterspell","tmp","Good (Lightly Played)","English","","","2025-01-05 20:04:03.807000","57","False","False","1.03"
"4","4","Counterspell","mh2","Near Mint","English","","","2025-01-05 04:00:15.830000","267","False","False","1.29"
"2","2","Crackling Perimeter","gtc","Near Mint","English","","","2025-01-05 06:24:21.293000","88","False","False","0.25"
"3","3","Crimson Acolyte","inv","Near Mint","English","","","2025-01-05 23:41:59.743000","11","False","False","0.28"
"3","3","Crop Rotation","c20","Near Mint","English","","","2025-01-05 05:27:54.350000","169","False","False","0.79"
"4","4","Cryptic Serpent","akh","Good (Lightly Played)","English","","","2025-01-05 23:04:16.760000","48","False","False","0.08"
"4","4","Curiosity","isd","Good (Lightly Played)","English","","","2025-01-05 06:14:45.533000","49","False","False","0.47"
"4","4","Curious Homunculus // Voracious Reader","emn","Good (Lightly Played)","English","","","2025-01-05 23:11:23.280000","54","False","False","0.19"
"4","4","Curious Obsession","rix","Near Mint","English","","","2025-01-05 06:05:48.483000","35","False","False","0.99"
"2","2","Darksteel Axe","som","Good (Lightly Played)","English","","","2025-01-05 19:34:32.930000","149","False","False","0.20"
"4","4","Darksteel Axe","ima","Near Mint","English","","","2025-01-05 23:28:48.473000","214","False","False","0.12"
"4","4","Darksteel Citadel","c14","Good (Lightly Played)","English","","","2025-01-05 05:43:18.410000","290","False","False","0.55"
"4","4","Darksteel Relic","nph","Near Mint","English","","","2025-01-05 22:27:01.643000","134","False","False","0.33"
"4","4","Dawn Charm","plc","Good (Lightly Played)","English","","","2025-01-05 06:30:26.963000","4","False","False","0.55"
"4","4","Dawntreader Elk","dka","Near Mint","English","","","2025-01-05 06:49:24.547000","111","False","False","0.25"
"4","4","Defile","mh1","Near Mint","English","","","2025-01-05 19:59:29.427000","86","False","False","0.25"
"4","4","Delver of Secrets // Insectile Aberration","isd","Near Mint","English","","","2025-01-05 07:18:15.043000","51","False","False","1.79"
"4","4","Delver of Secrets // Insectile Aberration","isd","Good (Lightly Played)","English","","","2025-01-05 22:48:49.740000","51","False","False","1.13"
"2","2","Desecration Demon","ddr","Near Mint","English","","","2025-01-05 23:29:18.567000","44","False","False","0.51"
"4","4","Desert of the Glorified","hou","Near Mint","English","","","2025-01-05 19:27:41.223000","171","False","False","0.25"
"4","4","Diabolic Edict","a25","Good (Lightly Played)","English","","","2025-01-05 03:45:37.553000","85","False","False","0.20"
"3","3","Diabolic Tutor","kld","Good (Lightly Played)","English","","","2025-01-05 23:29:56.353000","75","False","False","0.25"
"1","1","Dimir Guildgate","dgm","Good (Lightly Played)","English","","","2025-01-05 06:30:55.063000","148","False","False","0.20"
"4","4","Dimir Guildgate","gtc","Good (Lightly Played)","English","","","2025-01-05 22:49:15.010000","241","False","False","0.09"
"4","4","Dimir Infiltrator","rav","Good (Lightly Played)","English","","","2025-01-05 22:50:32.787000","203","False","False","0.09"
"4","4","Disciple of the Vault","mrd","Good (Lightly Played)","English","","","2025-01-05 05:43:44.897000","62","False","False","0.47"
"4","4","Disciple of the Vault","2xm","Near Mint","English","","","2025-01-05 06:06:08.443000","86","False","False","0.49"
"4","4","Dispel","wwk","Near Mint","English","","","2025-01-05 07:19:00.743000","26","False","False","0.25"
"6","6","Dispel","bfz","Good (Lightly Played)","English","","","2025-01-05 05:44:01.837000","76","False","False","0.20"
"1","1","Dispel","bfz","Near Mint","English","","","2025-01-05 19:59:51.977000","76","False","False","0.25"
"4","4","Dissenter's Deliverance","akh","Good (Lightly Played)","English","","","2025-01-05 23:22:11.293000","164","False","False","0.05"
"4","4","Dive Down","xln","Near Mint","English","","","2025-01-05 06:06:23.563000","53","False","False","0.25"
"2","2","Doom Blade","m12","Near Mint","English","","","2025-01-05 22:51:09.240000","95","False","False","0.18"
"2","2","Doom Blade","m11","Near Mint","English","","","2025-01-05 22:50:53.577000","95","False","False","0.17"
"3","3","Door to Nothingness","hop","Good (Lightly Played)","English","","","2025-01-05 06:33:39.263000","112","False","False","0.79"
"2","2","Dragon's Claw","m10","Good (Lightly Played)","English","","","2025-01-05 19:35:09.200000","210","False","False","0.20"
"4","4","Dread Return","cmm","Near Mint","English","","","2025-01-05 23:56:48.337000","637","False","False","0.39"
"4","4","Duress","dtk","Good (Lightly Played)","English","","","2025-01-05 19:35:54.940000","98","False","False","0.20"
"4","4","Duress","sta","Near Mint","English","","","2025-01-05 03:13:23.123000","29","False","False","0.25"
"4","4","Duskmantle Guildmage","gtc","Good (Lightly Played)","English","","","2025-01-05 22:51:34.820000","158","False","False","0.44"
"1","1","Echoing Truth","c19","Near Mint","English","","","2025-01-05 03:43:14.573000","84","False","False","0.25"
"2","2","Electrickery","rtr","Good (Lightly Played)","English","","","2025-01-05 20:04:16.887000","93","False","False","0.20"
"4","4","Elusive Spellfist","dtk","Near Mint","English","","","2025-01-05 22:26:13.213000","53","False","False","0.11"
"2","2","Endbringer","pogw","Good (Lightly Played)","English","foil","","2025-01-05 23:38:51.080000","3","False","False","0.72"
"4","4","Enigma Drake","akh","Near Mint","English","","","2025-01-05 22:51:54.300000","198","False","False","0.18"
"3","3","Evolving Wilds","m13","Good (Lightly Played)","English","","","2025-01-05 03:42:11.093000","224","False","False","0.20"
"4","4","Evolving Wilds","bfz","Near Mint","English","","","2025-01-05 20:00:24.750000","236","False","False","0.25"
"4","4","Exhume","usg","Played","English","","","2025-01-06 00:02:38.693000","134","False","False","3.84"
"4","4","Expedition Map","zen","Near Mint","English","","","2025-01-05 07:11:48.597000","201","False","False","4.99"
"4","4","Explore","wwk","Good (Lightly Played)","English","","","2025-01-05 06:34:15.437000","99","False","False","0.20"
"4","4","Faerie Miscreant","ori","Good (Lightly Played)","English","","","2025-01-05 20:04:39.413000","57","False","False","0.20"
"8","8","Faerie Seer","mh1","Near Mint","English","","","2025-01-05 07:19:16.467000","51","False","False","0.25"
"3","3","Faerie Seer","mh1","Near Mint","English","","","2025-01-05 03:14:23.720000","51","False","False","0.29"
"4","4","Faithless Looting","dka","Near Mint","English","","","2025-01-05 19:29:49.940000","87","False","False","1.79"
"3","3","Fertile Ground","lrw","Near Mint","English","","","2025-01-05 06:25:03.357000","211","False","False","0.25"
"4","4","Fertile Ground","bbd","Near Mint","English","","","2025-01-05 06:49:57.033000","198","False","False","0.25"
"4","4","Festering Newt","ima","Near Mint","English","","","2025-01-05 23:35:00.210000","90","False","False","0.10"
"3","3","Fiery Cannonade","cmr","Near Mint","English","","","2025-01-05 05:28:15.070000","178","False","False","0.25"
"4","4","Flame Slash","roe","Near Mint","English","","","2025-01-05 07:19:32.527000","145","False","False","0.25"
"1","1","Flaring Pain","jud","Good (Lightly Played)","English","","","2025-01-05 05:44:45.857000","89","False","False","0.47"
"2","2","Fling","m11","Good (Lightly Played)","English","","","2025-01-05 05:45:26.190000","139","False","False","0.20"
"1","1","Fog","m10","Near Mint","English","","","2025-01-05 06:25:53.597000","182","False","False","0.25"
"2","2","Forsake the Worldly","akh","Good (Lightly Played)","English","","","2025-01-05 23:22:29.430000","13","False","False","0.04"
"2","2","Fumigate","kld","Good (Lightly Played)","English","","","2025-01-05 22:52:23.553000","15","False","False","1.78"
"1","1","Galvanic Blast","2xm","Good (Lightly Played)","English","","","2025-01-05 05:46:08.623000","125","False","False","0.20"
"3","3","Galvanic Blast","ddu","Near Mint","English","","","2025-01-05 05:52:38.940000","45","False","False","0.25"
"4","4","Gate Colossus","rna","Near Mint","English","","","2025-01-05 07:09:09.740000","232","False","False","0.25"
"4","4","Gatebreaker Ram","rna","Near Mint","English","","","2025-01-05 07:09:23.677000","126","False","False","0.25"
"4","4","Gatecreeper Vine","rtr","Good (Lightly Played)","English","","","2025-01-05 06:34:51.160000","124","False","False","0.20"
"4","4","Gates Ablaze","rna","Near Mint","English","","","2025-01-05 07:09:46.573000","102","False","False","0.25"
"4","4","Gateway Plaza","grn","Near Mint","English","","","2025-01-05 07:10:06.377000","247","False","False","0.25"
"4","4","Gearseeker Serpent","kld","Good (Lightly Played)","English","","","2025-01-05 06:15:10.873000","48","False","False","0.20"
"2","2","Gearseeker Serpent","kld","Near Mint","English","","","2025-01-05 05:52:55.717000","48","False","False","0.25"
"4","4","Generator Servant","m15","Near Mint","English","","","2025-01-05 19:30:03.800000","143","False","False","0.25"
"4","4","Generous Ent","ltr","Near Mint","English","","","2025-01-05 23:57:03.503000","169","False","False","0.79"
"1","1","Geothermal Bog","dsc","Near Mint","English","","","2025-01-05 23:57:22.317000","278","False","False","0.39"
"4","4","Gift of Paradise","akh","Good (Lightly Played)","English","","","2025-01-05 23:04:31.597000","167","False","False","0.05"
"2","2","Gnaw to the Bone","isd","Near Mint","English","","","2025-01-05 23:46:45.000000","183","False","False","0.17"
"2","2","Gnaw to the Bone","plst","Near Mint","English","","","2025-01-05 23:57:35.337000","ISD-183","False","False","0.69"
"4","4","Goblin Bushwhacker","zen","Near Mint","English","","","2025-01-05 19:30:24.200000","125","False","False","2.29"
"1","1","Goblin Charbelcher","mrd","Good (Lightly Played)","English","","","2025-01-05 06:58:44.513000","176","False","False","1.03"
"3","3","Goblin Electromancer","rtr","Near Mint","English","","","2025-01-05 22:52:49.240000","163","False","False","0.09"
"1","1","Golgari Guildgate","rtr","Good (Lightly Played)","English","","","2025-01-05 06:35:24.603000","239","False","False","0.20"
"1","1","Gorilla Shaman","all","Near Mint","English","","","2025-01-05 05:29:24.453000","72b","False","False","0.99"
"4","4","Grapeshot","tsp","Good (Lightly Played)","English","","","2025-01-05 22:27:45.133000","160","False","False","0.29"
"2","2","Great Furnace","c21","Near Mint","English","","","2025-01-05 05:53:29.620000","292","False","False","0.69"
"2","2","Great Furnace","c18","Good (Lightly Played)","English","","","2025-01-05 05:46:41.030000","250","False","False","0.63"
"4","4","Growth Spiral","rna","Near Mint","English","","","2025-01-05 07:10:31.483000","178","False","False","0.25"
"1","1","Gruul Signet","plst","Near Mint","English","","","2025-01-05 05:29:55.973000","C16-256","False","False","0.69"
"4","4","Guild Summit","grn","Near Mint","English","","","2025-01-05 07:10:43.117000","41","False","False","0.25"
"4","4","Gurmag Angler","frf","Good (Lightly Played)","English","","","2025-01-05 03:58:30.270000","72","False","False","0.20"
"4","4","Gut Shot","mm2","Near Mint","English","","","2025-01-05 22:53:07.220000","117","False","False","0.24"
"4","4","Guttersnipe","rtr","Near Mint","English","","","2025-01-05 22:57:59.433000","98","False","False","0.14"
"1","1","Haunted Fengraf","c14","Good (Lightly Played)","English","","","2025-01-05 05:37:24.953000","300","False","False","0.20"
"1","1","Haunted Mire","dmu","Near Mint","English","","","2025-01-05 23:58:10.683000","248","False","False","0.39"
"2","2","Haze of Pollen","akh","Near Mint","English","","","2025-01-05 06:50:48.350000","171","False","False","0.25"
"4","4","Haze of Pollen","akh","Good (Lightly Played)","English","","","2025-01-05 23:04:43.407000","171","False","False","0.05"
"2","2","Haze of Pollen","akh","Good (Lightly Played)","English","","","2025-01-05 06:59:17.137000","171","False","False","2.00"
"4","4","Herbal Poultice","lrw","Good (Lightly Played)","English","","","2025-01-05 20:15:28.010000","257","False","False","0.16"
"4","4","Hieroglyphic Illumination","akh","Good (Lightly Played)","English","","","2025-01-05 22:58:37.383000","57","False","False","0.10"
"4","4","Hornet Queen","m15","Good (Lightly Played)","English","","","2025-01-05 07:08:14.553000","178","False","False","2.39"
"4","4","Hydroblast","ice","Near Mint","English","","","2025-01-05 20:00:49.507000","72","False","False","1.29"
"3","3","Ice Tunnel","khm","Near Mint","English","","","2025-01-05 03:42:29.850000","262","False","False","1.49"
"1","1","Ichor Wellspring","mbs","Good (Lightly Played)","English","","","2025-01-05 05:47:07.033000","110","False","False","0.23"
"1","1","Ichor Wellspring","c21","Near Mint","English","","","2025-01-05 05:54:49.147000","245","False","False","0.25"
"3","3","Impact Tremors","dtk","Near Mint","English","","","2025-01-05 19:30:46.723000","140","False","False","1.29"
"2","2","Incinerate","m12","Played","English","","","2025-01-05 23:13:04.623000","146","False","False","0.10"
"2","2","Incinerate","10e","Good (Lightly Played)","English","","","2025-01-05 23:21:23.530000","213","False","False","0.13"
"4","4","Ingenious Infiltrator","mh1","Good (Lightly Played)","English","","","2025-01-05 23:44:46.057000","204","False","False","1.72"
"1","1","Into the Wilds","m14","Good (Lightly Played)","English","","","2025-01-05 06:36:13.880000","180","False","False","0.39"
"3","3","Into the Wilds","m14","Near Mint","English","","","2025-01-05 06:26:19.383000","180","False","False","0.49"
"1","1","Invasion of Ikoria // Zilortha, Apex of Ikoria","mom","Near Mint","English","","","2025-01-05 23:44:28.827000","190","False","False","6.44"
"1","1","Invasion of Ikoria // Zilortha, Apex of Ikoria","mom","Near Mint","English","","","2025-01-05 23:43:27.517000","190","False","False","6.73"
"1","1","Invasion of Ikoria // Zilortha, Apex of Ikoria","mom","Good (Lightly Played)","English","","","2025-01-05 23:43:52.483000","190","False","False","6.81"
"1","1","Invasion of Ikoria // Zilortha, Apex of Ikoria","mom","Good (Lightly Played)","English","","","2025-01-05 23:42:28.790000","190","False","False","7.75"
"4","4","Irrigated Farmland","akh","Near Mint","English","","","2025-01-05 22:58:58.107000","245","False","False","3.05"
"9","9","Island","8ed","Played","English","","","2025-01-05 03:06:58.150000","337","False","False",""
